Username,Tanggal,Bintang,Komentar
bukan basa basi,2024-12-19,2,"Lokasi tidak bisa di permanenkan, walaupun sudah di ganti lokasi,ttp kembali ke pengaturan default, lokasi jakarta. Sebagai petani di daerah sangat kecewa dgn update ini"
wsar14na,2024-12-19,2,"Koq setelah diupdate malah makin jelek, peringatan dini cuaca harus aktifin gps lokasi, padahal sebelumnya tdk bgitu, skrg hanya pringatan tdk update, mlh jarang ada notifikasinya, kcuali gempa"
Sandy Wenang,2024-12-19,3,"Lokasi salah, hasil prakiraan jadi tidak akurat. Mohon diperbaiki"
Joparrr,2024-12-19,1,"Payah, setelah di update lokasinya di gunung sahari selatan terus, tidak bisa ngedete detect lokasi real time"
Oky dwi jayanti,2024-12-19,3,"Di update bukannya makin bagus malah ngawur, ga bisa dirubah ke lokasi yang sesuai, gps ga bisa .. balik lagi ke gunung sahari 🥲"
Ariyani Binti Saimo,2024-12-19,5,Sangat penting mengenai informasi cuaca di wilayah indonesia dan sekitarnya..
PURNOMO AKBAR,2024-12-18,5,Terimakasih sudah memberikan info yang terbaik untuk masyarakat Indonesia
Irwan Setiawan,2024-12-18,5,Sudah semakin akurat
Muhammad Ardan,2024-12-18,3,"Kenapa prakiraan cuaca di daerah saya malah di daerah gunung Sahari di kawasan daerah Jabodetabek, tolong segera diperbaiki sistemnya."
Noob Gamers,2024-12-18,3,"Gak bisa pindah lokasi, gunung sahari selatan terus"
Heppy Prayogo,2024-12-18,2,"Ngebug, sudah stel lokasi di wilayah Jayapura,Papua malah lokasinya gunung Sahari Selatan"
Reza Zulfikar,2024-12-18,1,Setelah diupdate malah titik lokasi di Gunung Sahari Selatan terus tolong segera diperbaiki
Deroy Mandala,2024-12-18,2,Waktu belum di update lokasi ny sesuai tapi kenapa pas di update lokasi ny di gunung Sahari udh di coba ganti pakai GPS dan manual masih aj di gunung Sahari lokasi saya di Sumatra Selatan mohon di perbaiki lagi 🙏🙏🙏
DORGIS SIMANJUNTAK,2024-12-18,3,Setelah update terakhir 14 des. Menu cuaca gak otomatis gps nya. Selalu berada di gunung sahari jakarta. Mohon segera di perbaiki.
Kamil Muhamad,2024-12-17,5,Baik dan mudah mengetahui
Pujiono,2024-12-17,5,Bagus
Hudi _,2024-12-17,4,Location di berandanya tidak bisa diganti
Basuki Rohmad,2024-12-17,5,"Bagus dan akurat. Cuma update terbaru, gk bisa deteksi gps dengan akurat. Dan pencarian lokasi, lebih mudah yang dulu, yang hanya tingkat kecamatan."
Ginanjar Dwi Putra,2024-12-17,1,begitu di update malah eror
Aris Dermawan,2024-12-17,3,"Baru aja diupdate...lokasi malah pindah ke jakarta,udah diubah...nanti kalo buka lagi balik ke jakarta gunung sahari..."
adminrelawan kybar,2024-12-17,3,Di-update malah GPS nya kacau... Aku di Jogja kenaknya di Jakarta Untuk mencari kelurahan tidak ditemukan... Dulu pakai kecamatan malah akurat
Leön,2024-12-17,3,Ini kenapa jadi di gunung Sahari terus ya lokasinya? Berulangkali di-set tetep munculnya gunung Sahari
Teguh Santoso,2024-12-17,4,setelah update jadi ga bisa GPS nya...jadi ga dapet peringatan dini cuaca dilokasi saya pdhal sbelum update masih bisa..
Rio Stiyawan,2024-12-17,2,"Di update jadi kurang, tolong kembalikan seperti sebelumnya, terimakasih"
budi haryanto,2024-12-17,3,Setelah update aplikasi tidak bisa di setting sesuai lokasi device
Ranie,2024-12-17,2,Tolonglah bagi tim IT BMKG utk sering2 cek aplikasinya. Biar cepat ambil tindakan klo ada trouble. GPS ngaco. Masa lokasi sy didepok tp titik GPS di JKT. Aplikasi jg ga bisa dibuka & connection failed.
Irwan Ardiansyah,2024-12-17,3,ada fitur cek pasang surut air sungai/laut terdekat kah min... Mohon infonya..
Arbi Salimaulana,2024-12-17,3,"Aplikasi nya nge-bug, saya ganti lokasi kok tetep aja gunung sahari selatan"
Ilham Nuriman,2024-12-17,5,Sebelum kerja pasti liat BMKG apalagi kalo lagi musim ujan wakakakak. GO SCIENCE GOOO
Rudy AN,2024-12-17,3,Error cuaca bukan di daerah pengguna
Culin Culin,2024-12-16,5,Bmkg memang hebat dn oky
Dedi Supianto,2024-12-16,5,Sangat membantu
Mochamad Rizky Nugraha,2024-12-16,2,Mengapa Saat dibuka pertama kali GPS tidak mendeteksi tempat tinggal saya.. Malah nyasar ke daerah perairan Afrika.. Mohon Segera Diperbaiki.. Kemarin Sebelum Diperbarui aplikasinya baik2 saja.. Ini setelah diperbarui aplikasinya sangat ngaco..
Ninik Hadiwinoto,2024-12-16,2,Setelah diupdate posisi kelurahan/desa selalu gunung sahari selatan.. msh ada bugs udah production
Sarong Spdmm,2024-12-16,5,Sangat membantu dalam mencari informasi terkait keadaan alam
SUDI RAH,2024-12-16,5,Sangat membantu
anna rosmarini,2024-12-16,5,"Bagus dan akurat 100% dlm mendeteksi cuaca,tapi Informasi nya sedikit lbih lama"
Asdar Meubel,2024-12-16,5,Sangat bermanfaat
JuprisL Sal,2024-12-16,4,Dg ada nya impo BMKG masarakat bisa lebih waspada terhadap apa yg terjadi tentang penomena alam
Okky Evan Tri Susanto,2024-12-16,5,Baru
Dian Jogoroto,2024-12-16,5,Cukup akurat
AAF Agung Wijayanto,2024-12-16,3,"review alhir 2024, setelah diupdate cuaca per kelurahan blm stabil. ganti lokasinya blm bisa berubah . . peringatan dini cuaca gak bisa pilih provinsi"
Alfaro Ridho,2024-12-16,3,"Maaf terpaksa saya turunin bintang nya,karena setelah update jaringan nya sering lambat drpd sebelumnya,sudah tidak ada memo peringatan dini,"
Heri Yanto,2024-12-16,3,Dapat di percaya
Wahyudi Bin Sugiyo,2024-12-16,5,Informasi yang membuat orang berpikir sedia payung sebelum hujan
Radithya Reyhan Afandi,2024-12-16,4,"Bagus,bermanfaat tetapi tidak ada sinyal peringatan jika lokasi pemakai apk akn terkena gempa"
ningrumsagita 06 (Hefi W),2024-12-16,5,👍
Veronica Putri Dayanti,2024-12-16,3,"Setelah di-update lokasinya jadi ngaco. Mana gabisa diganti lagi, ngestuk di Gunung Sahari Selatan. Baru benar kalau re-instal."
nadhi supiandana,2024-12-16,3,"Setelah update malah bug parah, gak bisa atur lokasi padahal sebelumnya bisa. Masa tiap buka aplikasi harus cari kota dulu."
yaipe yiyien,2024-12-16,3,16 Desember 2024 masih ada bug di menu Gempabumi Real-time yang menunjukkan lokasi USER berada di Gunung Sahari Selatan dan dengan jarak belasan ribu kilometer
akhmad suhari Kroya,2024-12-16,5,Sangat informatif. Terima kasih
Maryadi Raharjo,2024-12-16,4,Tolong tampilkan notifikasi potensi tsunami atau tidak
Haji Rey,2024-12-16,5,Bagus dan sangat membantu untuk mengetahui keadaan cuaca dan bencana
Rin Saleh,2024-12-15,5,"Dengan disiarkannya secara global, maka kami masyarakat yang tinggal disekitaran pantai dapat segera mengetahui bahaya yang akan terjadi apakah itu gempa bumi angin topan gelombang tinggi sehingga kami selalu waspada dan berhati-hati. Terimakasih kepada semua pihak yang telah berupaya terutama BMKG."
Khulsum Almaira,2024-12-15,5,Ingormasi penting sangat di perlukan Makasih
Dhika Pratama,2024-12-15,5,Bang Squadzone...are u there?
Misbakul Munir,2024-12-15,4,"Mengapa setelah di update jadi tidak bisa lihat cuaca di wilayah saya,malah Jabodetabek yg muncul, di setting juga tetap nggak bisa...."
Turn Back Crime,2024-12-15,3,Setelah di update jadi kurang akurat
Oding Nawawi,2024-12-15,5,Terbaik dan konsiaten
Satriyo Wi,2024-12-15,4,infony update👍
RADEN ALLFATIH PRATAMA,2024-12-15,5,Good job
War Nadi,2024-12-15,4,"Terima kasih BMKG atas informasinya perihal cuaca dalam keseharian. Kami bekerja sebagai buruh di perkebunan kelapa sawit,yang sangat membutuhkan informasi cuaca."
sandal jepit,2024-12-15,4,tlg diperbaiki ada bug setelah pilih lokasi tetap pada seting default bug setelah update
Delinda Widyastuti,2024-12-15,1,"Aduh bmkg, saya barusan kena gempa, tp liat apk nya kok ngga bisa langsung laporan gempanya. Saya berharap notifikasi gempanya bisa real time. Thx"
Abd Rochman,2024-12-15,4,Hujan ringan
Dany Anggara,2024-12-15,1,"DI UPDATE MALAH NGEBUG GABISA GANTI LOKASI, BUG GUNUNG SAHARI MULU"
Atyk Sahita,2024-12-15,5,Semua info dr bmkg sangat membantu dr
hadi santoso hadi santoso,2024-12-15,5,"sangat membantu bagi saya, apa lg seperti saya yng krja di laut"
Hamka Djamaluddin,2024-12-15,3,Aplikasinya setelah di-update tidak dapat berubah lokasinya hanya wilayah gunung sehari selatan
Jay ignacio,2024-12-15,5,Mantap
rosita fatmawati,2024-12-15,2,"nyesel update aplikasinya, krn g otomatis mendeteksi lokasi sy, cb setting manual dg pilih desa tetap sj tdk update sesuai lokasi pilihan"
Anim latif,2024-12-15,5,"Aplikasi bagus, sangat membantu saya dalam melihat kondisi cuaca di daerah bila saya dalam perjalanan utk persiapan"
Lintang Saputra,2024-12-15,1,Setelah update yang baru malah eror. Informasi cuaca gak sesuai dengan yang terjadi. Aplikasi sekelas pemerintah kok gini amat. Malah aplikasi cuaca bawaan lebih akurat haiisss
Oktavianus Aditya,2024-12-15,3,"Kenapa setelah update aplikasi ini, kok jadi bukan kondisi cuaca di tempat pengguna aplikasi masing-masing malah jadi Gunung Sahari Selatan? Tolong ya di perbaiki lagi agar tidak terjadi bintang satu!"
Liem Sikumbang,2024-12-15,2,"Kocak bangetttt... Setelah di update, masa titiknya di gunung sahari terus, sudah diperbaiki pakai GPS dan pilih cara manual tetap aja balik ke GUNUNG SAHARI... padahal kita di Pekanbaru Riau....."
Arul Hoerul,2024-12-15,3,Sudah di setting daerah saya kenapa kembali ke gunung Sahari Jakarta
GROSSERO,2024-12-15,5,ok
Deddy Chandra,2024-12-15,5,Sangat membantu dalam prediksi cuaca dan informasi gempa
zdan wy,2024-12-15,5,zidane
MAHA LAWU,2024-12-15,5,"Setelah aplikasi diupdate, informasi yang ditampilkan menjadi aneh. Tetapi setelab diinstal ulang, bisa normal lagi."
Imam Farisi,2024-12-15,5,Keren min aplikasinya. Prakiraan cuaca sangat membantu untuk yg suka bepergian. Jadi bisa lebih prepare. Mungkin kedepannya bisa dibuatkan widget yg bisa diletakkan di homescreen untuk mempermudah pengecekan cuaca. 😁
Wiyono Wiyono,2024-12-15,4,Mantaplah dengan info update cuaca
LUTHFI MIFTAHUR RAHMAN,2024-12-15,3,Masih kurang desa/kelurahan di gabus Pati Jawa Tengah Indonesia
Abdi Llah,2024-12-14,5,Kurang ngerti updatenya yg baru
Sulthon mawardi Tony,2024-12-14,5,Sangat membantu dalam pelayaran
Agatha Sulistyaningrum,2024-12-14,5,Aplikasi ini benar-benar bagus. Walaupun terkadang meleset. Tapi sejauh ini perkiraan cuacanya sama
Hadi Suswanto,2024-12-14,4,"Sangat membantu, meskipun kadang tidak akurat"
Karmila Sompa,2024-12-14,5,Aplikasinya keren
Muh Feizar Bakri,2024-12-14,1,bug di lokasi cuaca pakai GPS kurang tepat...
brillian satria,2024-12-14,3,"kecewa, di update malah ngebug tata letak berantakan dan gambar biasanya terdisplay di depan menghilang, tulisan tertutupi layer yg salah letak... tolong perbaiki"
Agus Budiono,2024-12-14,5,Selalu tampil setiap dibutuhkan.
Dahlan Yusuf,2024-12-14,5,Ok
Adil Alfala,2024-12-14,4,"Kalau bisa (A) Hujan diuraikan : 1) Hujan Panas, 2) Hujan Angin, 3) Hujan Petir, 4) Hujan Gerimis (B) Kabut diuraikan : 1) Kabut Asap, 2) Kabut Embun, 3) Kabut Tebal. Perbaiki untuk upgrade berikutnya"
Wiyana HS,2024-12-14,5,Informasinya sangat membantu.
MR5 5RM,2024-12-14,5,"Ternyata perlu uninstall baru bisa berfungsi dengan baik, sebelum nya setelah update GPS nya tidak berfungsi dan pengaturan lokasi selalu gagal singkron dengan daerah yg di masukan"
sagitarius 72,2024-12-14,5,Aplikasi bagu dan bisa membantu inf ttg kejadian seputar gempa
rahmmad rinanto,2024-12-14,3,"aplikasi setelah diupdate, malah error, ubtuk melihat citra satelit tidak bisa, terus untuk lokasi selalu di daerah tanggerang atau daerah jakarta. mohon diperbaiki lagi aplikasinya"
Lazy G,2024-12-14,1,Diupdate malah loading doang anjir
alif akbar,2024-12-14,3,setelah di update malah lokasi lag.. kocak..
Min Tarsih,2024-12-14,1,"Begitu di instal lokasi gx bisa masuk cuma muter2 doang, maaf baru kasih bintang satu baru di coba tp gagal...🙏🙏🙏"
Budi Pekerti,2024-12-14,5,Sangat bagus... coba dong animasi radarnya seperti MSN cuaca milik windows .radrnya animasi hujan nya bagus.. pengen radar hujan BMKG kayak tadar MSN cuaca..
Arya Priambodo,2024-12-14,5,Mantab
Ari Fanna Nawwirina,2024-12-14,1,Bagus sebelumnya Punya saya tersetting wilayah gunung sahari selatan tidak bisa diubah walaupun gps diaktifkan Maaf saya uninstall
Kafi Usis,2024-12-14,4,cjkup baik memberinformasih tepat.
Gooners,2024-12-14,4,"Sayang sekali aplikasinya di buka sangat berat, loadingnya lama buat masuk interface awal. Semoga dapat diperbaiki lagi. Saran, agar lebih menarik tambahkan fitur widget min, krn saya kira udah lengkap infonya tinggal kembangin lagi"
Karina,2024-12-14,1,Habis diperbatui malah ngebug. Gk bs dibuka 🤦‍♀️
Farel Triono,2024-12-14,5,Aplikasi yang sangat berguna
denmasanto 728 xgw mas,2024-12-14,3,Masih sering kurang pas prakiraan nya
Muhamad Akbar Shidik,2024-12-14,5,💯💯💯
Hanny Alfarizi,2024-12-14,1,"Baru di perbarui kenapa susah pencarian lokasi tempat kita tinggal tidak di temukan, dan mohon maaf saya kasih 1 bintang"
rudi lapassisi,2024-12-14,5,Bagus
Meri Marlina Caniago,2024-12-14,4,Notifnya masih lebih cepat info gempa di aplikasi media sosial. Smoga dperbaiki.
taufiq fiqo',2024-12-14,4,Aplikasi ini semakin informatif rasanya 😆
Ramz 07,2024-12-14,1,"Turunin hujan napa, Ini bekasi,Tiap mendung ge, Angin mulu."
Febri Aldi,2024-12-14,5,Aldifebry
Kevin Pratama Putra,2024-12-14,1,Lol banyak bug cuaca kw lol
rusli idrus,2024-12-13,5,Sangat membantu
Sri Rahayu,2024-12-13,5,Info cuacanya membantu
Mas John,2024-12-13,2,Untuk info radar kok eror /tidak bisa di akses/ gangguan.
Setiyo Prayitno,2024-12-12,3,"Aplikasi sudah bagus, tapi saat pertama buka lama sekali."
Bengkulu Andi,2024-12-11,4,"Apk udah bagus,cuma kenapa ada gempa di provinsi saya sendiri tidak terdeteksi,mohon di bantu dan d perbaiki lagi,supaya kinerja Jadi lebih bagus lagi"
eka rudy,2024-12-11,2,"Setelah di update versinya justru kurang memuaskan, dari fiturnya, dan terutama keakuratan data maritimnya juga sangat jauh melenceng."
Koko Iskandar,2024-12-10,5,Apk nya sangat berguna dan membantu
Ahmad Gozali,2024-12-10,5,Sangat membantu
Heri Nugroho,2024-12-10,3,Kurang akurat di tempatku hujan lebat disertai angin 30menit tapi lihat di aplikasi sama sekali tidak ada petunjuk pantauan satelit awan atau hujan.
bachriadi irwan23,2024-12-09,2,"Daerah saya gempa sudah setengah jam yang lalu, tapi belum ada catatan dalam list aplikasi ini, berarti tidak cepat update dong"
BOYKE KOMARUDIN,2024-12-09,2,"Agak lambat infonya..berbahaya kl potensi tsunami.udah pada mati,baru keluar info."
Agus Susanto,2024-12-09,5,Oke
Adrianz Lopez72,2024-12-09,5,Good Job
Muhammad Rafi,2024-12-08,5,"Menurut saya aplikasi ini sangat bagus banget dan sangat membantu banget karena dengan aplikasi ini kita bisa mengetahui prakiraan cuaca dan prakiraan bencana walaupun hanya Allah yang tahu dan manusia hanya bisa memperkirakan saja dan tetap waspada tetapi dengan aplikasi ini manusia semakin tahu informasi walaupun hanya memperkirakan saja.⭐⭐⭐⭐⭐ untuk aplikasi ini.SEMANGAT TERUS ""BMKG""!!!"
Budi GilaKopi,2024-12-08,4,"1. Notifnya sudah nyala untuk gempa, tapi untuk Peringatan Dini Cuaca masih telat telat. 2. Tolong itu radar yang Yogyakarta kenapa tidak tampak normal? Surabaya juga mati. 3. Partisipasi pemilihan cuaca sebaiknya bisa memilih lebih dari 1 kejadian."
luqman saifuddin,2024-12-07,4,"Untuk Radar tidak bisa dibuka, padahal sangat membantu kalau normal, mohon segera diperbaiki"
Alan azril77,2024-12-07,1,Youtube
Netijen Bar bar,2024-12-07,5,Informasinya yang sangat cepat
Fardhan,2024-12-07,5,Lokal
Pri Yono,2024-12-07,5,Cocok untuk mengetahui cucca
Sumi Yanz,2024-12-07,1,"Sekarang jdi kudet, gempa udh dirasakan tapi blum muncul notifikasi."
Satria baja Hitam RX,2024-12-06,3,Tolong perbaiki lagi untuk update radar cuaca sekarang lambat bisa sampai 10 menit untuk mengetahui hujan sudah sampai daerah mana . Biasa nya 5 menit
Yandi Dean,2024-12-06,1,Tidak akurat sedikitpun
supriadi ganteng,2024-12-06,4,Bagus
Kristopel Simbolon,2024-12-04,5,Semoga BMKG selalu menjadi Hal yang paling Informatif bagi seluruh Masyarakat Indonesia. 🙏🙌
Sederhana Hana,2024-12-04,5,baik
Hilman A,2024-12-03,5,cukup akurat☁️☁️☁️
Andry Roo,2024-12-01,3,"Masih kurang, di aplikasi cerah padahal lagi hujan lebat. Begitu sebaliknya. Tolong di perbaiki"
ardhy ocha,2024-11-30,1,Lebih akurat aplikasi bawaan hape saya🤣
Mamad Torlu,2024-11-26,5,Lengkap
Afiq M,2024-11-26,5,"Aplikasinya sudah bagus, tapi lebih bagus lagi dibikin juga dong widget nya"
Misbah april Ardiansyah putra,2024-11-26,1,"Aplikasinya kurang memprediksi cuaca, saya sangat kecewa atas hal ini."
eric,2024-11-25,1,"Prediksi cuaca ga pernah akurat, BMKG bagaimana iniiiii?"
AGUS YUDIANTO,2024-11-25,5,Aplikasinya sangat bagus sekali dan cocok untuk melihat ramalan cuaca di Jawa Timur.
Eman Suherman,2024-11-25,5,Apk nya bagus dan sangat membantu sekali
Afrianus Tiajanry27,2024-11-25,1,"Prediksi cuaca 100% gk ada yang akurat, 🤣 aplikasi bodong."
agus_ darma1946,2024-11-25,5,Terbaik
Osinsa Osin,2024-11-24,5,Ok
Taufik Syaifullah,2024-11-24,5,"Mohon maaf BMKG sebelumnya, bahwa di radar untuk Daerah Istimewa Yogyakarta itu masih bermasalah hanya berhenti di jam 12.53 saja dari tanggal 23 Nov 2024 setelahnya atau jam berikutnya tidak ada lagi mohon di perbaiki Terimakasih"
Asep Soleh Rosyadi,2024-11-24,2,masih kurang akurat
Agus Zaelani,2024-11-24,1,Sekarang melihat radar awan kok gak bisa
isa dharmawan,2024-11-23,5,Ok
Abbas,2024-11-23,5,mantap
PESAWARAN PERMAI,2024-11-22,5,Aplikasi ini sangat membantu untuk melihat cuaca di sekitar...
Wardi Plawad,2024-11-21,1,"Ramalan BMKG gk akurat masalah cuaca, di aplikasi hujan lebat Disini gk hujan mallahh panas cuaca nya perbaiki lg ke akuratan nya"
Tello Godog,2024-11-21,3,knpa gag bisa di buka
Huda Boboi_Boy,2024-11-21,2,gk update dan gk Akurat🥲
Bram Mahar,2024-11-20,4,Ok
Fadil Moehammad famukti,2024-11-19,5,"Terus sempurnakan lagi ya bmkg, saya suka ke akuratan cuaca dari estimasi sampai kapan turun hujan.."
Warham Pg,2024-11-19,5,Pokoknya mantap
FF Project Jakarta,2024-11-19,3,Hak bisa dibuka.. Error..
suharyani 1002,2024-11-18,5,semoga akurat
Santri Adi,2024-11-18,4,Sangat membantu untuk mengetahui cuaca hujan
Opik Hidayat,2024-11-18,5,Ok
Sabdi,2024-11-17,5,Bgus
IMAM EFFENDI RAMADHAN,2024-11-17,5,"Aplikasi sangat membantu, tapi sayang.a daerah srby dan sekitar tidak terjangkau sampai saat mungkin dari pihak aplikasi segera selesaikan karena apk ini sangat membantu bagi orang"" yg suka perjalanan jauh 🙏"
Pengguna Google,2024-11-17,3,sangat membantu
Abram Dp,2024-11-16,5,Kami meŕasa terbantu dlm keadaan dan kondisi alam yang terjadi.kaml bs melakukan upaya apa yg harus supaya aman. Terima kasih.!!
Mersi budiono,2024-11-15,5,Sangat membantu utk mengetahui cuaca dan gempa yg ada di seluruh kota di Indonesia jdi lebi waspada krn ada notif yg di informasikan
bambang agus sudarmaji,2024-11-15,4,Ut cuaca cukup akurat
komang pasek rusnanda suantara,2024-11-15,4,Kenapa saya kasih bintang empat 🌟🌟🌟🌟 Karena ini pemerintah yang boleh pakek jadi saya kasih bintang empat 🌟🌟🌟🌟
Asep Kurniawan,2024-11-14,5,"Saya mau kasih saran, untuk notifikasi gempa sebaiknya hanya di berikan yang dekat dengan lokasi kita berada, selama ini semua notifikasi gempa masuk walaupun lokasinya sangat jauh dari kita.Terimakasih"
Mustamin Musli,2024-11-13,5,Biasa
Ujang Adi,2024-11-12,5,Mantap
pitoyev,2024-11-12,3,Untuk informasi kualitas udara mohon diperluas lagi.khususnya daerah yang sering terjadi kebakaran hutan.untuk tampilan cuaca mohon dilengkapi lagi seperti aplikasi-aplikasi lain.
presidium perwira,2024-11-12,5,Sangat bermanfaat
Adi Nugroho,2024-11-10,5,"BMKG handal, Demi Indonesia, Sukses selalu...Aamiin🤲"
Abi Virdiansyah,2024-11-10,1,"Min, kalok prediksi cuaca yg bener dong, katanya bakal ujan tpi gak ujan2 nih daerah denpasar Php lu min"
Niken Nutricillia,2024-11-10,5,"Aplikasinya cukup bagus. Cuma sedikit saran aja. D bagian info cuaca, pengguna dapat berpartisipasi memberikan info cuaca yang terlihat oleh pengguna. Tapi di fitur itu pengguna hanya bisa memilih satu saja fenomena yang ada. Sedangkan terkadang ada dua atau tiga fenomena cuaca yang bisa terjadi dalam satu waktu. Misal berawan, hujan ringan, angin kencang. Jadi mungkin bisa d buat pengguna dapat memilih lebih dari 1 fenomena cuaca. Terimakasih, semoga BMKG kita semakin maju ya"
